match_id,home_matchup_factor,away_matchup_factor,summary
FRA-SEN-A,1.06,0.97,法国边路速度和中前场压迫对塞内加尔出球有克制
BRA-GER-B,1.03,1.0,巴西前场一对一优势略高，德国定位球可部分抵消
ARG-ENG-C,1.02,1.01,双方结构接近，阿根廷中场控制略有优势
POR-UZB-K,1.07,0.95,葡萄牙边路和肋部推进优势明显，乌兹别克斯坦需要依靠低位防守和快速反击
ENG-GHA-L,1.04,0.98,英格兰中前场控制力更强，但加纳的速度型反击会考验边路回防
PAN-CRO-L,0.96,1.05,克罗地亚中场传控和定位球质量占优，巴拿马更依赖身体对抗和转换
COL-COD-K,1.04,0.99,哥伦比亚边路创造力更稳定，刚果民主共和国的身体优势会提高定位球威胁
SUI-CAN-B,1.01,1.0,瑞士整体纪律更稳，加拿大速度型转换会制造纵深压力
BIH-QAT-C,1.02,0.99,波黑身高和定位球优势明显，卡塔尔需要通过控球降低对抗强度
SCO-BRA-C,0.97,1.06,巴西一对一和肋部推进优势明显，苏格兰需要依靠身体对抗和定位球
MAR-HAI-B,1.06,0.95,摩洛哥边路和中场压迫更强，海地主要依赖反击速度
CZE-MEX-A,1.0,1.03,墨西哥主场氛围和前场灵活性略占优，捷克定位球可抵消部分差距
RSA-KOR-H,0.98,1.04,韩国转换速度和前场跑动更有威胁，南非需要提高防线横移质量
